result_user_id,result_remap_user_id,sorted_score
A2HSIRPV2VUOPQ,58341,3.6411495
A3P61TQ6P3PDKT,58325,3.429618
A175E2IMLJ4DX1,31645,3.2291381
A2UUBEI8TQZVQ0,58074,3.1913183
A34A6WJ2BAATT2,55374,3.15113
A28MIU5B9BU7WF,6324,3.110482
AB1H5YNSTLEOS,26899,3.1047559
A3VK9IOJZT0OUO,32578,3.0913715
A2IXDP767JU01X,5205,3.078211
A3EH345U28BLOE,4467,3.0742264
A3U6K7CFFFNKB9,19292,3.0702777
A3MEYKWOI07EWL,44781,3.0569751
A2IUFFMYSMU4ME,47782,3.0530326
A3EUFM1T4K6IDT,8205,3.050946
A3OL3WBU55NX0V,52485,3.0101798
ARZNQJQ3YM3ZQ,18009,3.0091236
A38PLY5V63Q8G0,44230,3.0030677
A10P2YKOYWQ7RD,24246,2.9983757
A32NY083EQYXXZ,56932,2.994569
A1K69MX4UB6SMF,33842,2.9827523
A2GAF2BU6ESDFE,6316,2.9745827
A2CP2UAI0JSOQ1,11442,2.9733174
A3S9C856BUGP0K,56422,2.9663477
A1BEFX0VQOL9DI,56312,2.9656374
A2HHEKMNKNQ680,5109,2.9606574
A345XOQZWYOXSN,58169,2.9605775
AI5KOXM8J78PM,21974,2.9514003
AJXQ82KRALCHB,43523,2.9504204
A36AV0PXEEHZ4M,8789,2.9498188
A2IPQSI47UXF0E,29943,2.9396012
A3IJFRCFVYFSII,14077,2.93722
A3OJ04VQ0B343B,13099,2.9331157
A3TGZQ3H8REIMG,45659,2.9328065
A370H86E51AMSM,43502,2.9257202
A2I2OGYXA3D38K,22988,2.9235728
A3VJLVM5JR3PB8,15504,2.9222167
A14MTE1HJ4JIDT,35672,2.9194708
A1WOD0XT2IG9NN,48383,2.9172955
A21T0OA0GVWIHA,20624,2.9142818
A392QLBWMJWCV0,26027,2.914194
A13SV5R32D27W5,42915,2.9136207
A23FGHU1L4OKWV,24573,2.9124353
A218DRQH2SDGXK,32709,2.9116924
AZ3BOVS7ICQ14,14008,2.9080868
A1N0LWM3L9PWED,30592,2.907995
A3M9BWO41NKBU4,9731,2.906037
ARR4H0B30UCGC,36535,2.9030764
A2U4OLJVS5NH8O,17410,2.898913
A1ON7DB3IO8Y85,57512,2.8987386
A1GS6SWMKNPB0U,53376,2.8971622
A2M8E5ST3QVVG0,44700,2.89319
A2VQ1CCN943498,23036,2.8888786
A1N7IP4LAY53CE,40688,2.884609
A1XW0J6GE2XRU,6905,2.8804536
A32H4BSUWL9INA,23281,2.8761027
ARP8OAR39LHM0,47269,2.8751001
AQB4J02B9MHY,29167,2.8734148
A2X6WJFG7BJ3KX,37224,2.8731925
AD7VC366RIXCR,57116,2.8716276
ACA66WNXM3C6E,34151,2.8705695
A1O2MPK4VCXDZW,52518,2.8697567
AES4A6O5E6XAW,1533,2.8693802
A37CY6BLS3SBMZ,19517,2.869075
A3EDWCH1GKSA94,24048,2.8689332
A19Q65QK2RVTIQ,4747,2.8668194
A1P3B2YVXR6ZSZ,40153,2.863361
AA9SJ0LBOSEKU,35275,2.8609278
